Item_ID,Weight,Shelf_Life,Value
Item_1,15.12,246,13553
Item_2,4.35,104,16634
Item_3,16.11,164,5007
Item_4,18.18,137,14020
Item_5,7.41,199,28449
Item_6,13.95,15,43119
Item_7,9.83,123,28099
Item_8,1.01,67,25985
Item_9,12.77,76,37799
Item_10,5.51,289,2399
Item_11,7.6,181,20795
Item_12,1.0,69,22884
Item_13,4.66,265,4237
Item_14,14.33,304,42686
Item_15,0.95,135,8433
Item_16,16.33,253,44145
Item_17,10.91,208,1910
Item_18,12.13,161,5320
Item_19,17.2,136,1416
Item_20,8.46,281,13076
Item_21,19.42,130,46698
Item_22,15.31,150,40820
Item_23,9.11,79,23158
Item_24,7.07,116,5553
Item_25,3.68,112,8631
Item_26,10.55,18,28062
Item_27,4.11,220,49031
Item_28,9.87,164,35434
Item_29,12.94,189,10305
Item_30,18.67,83,14493
Item_31,9.95,71,13809
Item_32,18.12,228,31483
Item_33,12.86,194,28081
Item_34,4.41,208,6109
Item_35,6.5,216,3206
Item_36,14.73,322,16074
Item_37,7.88,52,46045
Item_38,8.92,173,8830
Item_39,19.26,236,15827
Item_40,16.22,237,31577
Item_41,11.47,216,14405
Item_42,16.13,260,46615
Item_43,14.64,10,37043
Item_44,10.27,8,6401
Item_45,1.83,19,28332
Item_46,9.18,20,3859
Item_47,12.1,350,24995
Item_48,16.87,239,38403
Item_49,4.22,134,20193
Item_50,16.18,122,44441
Item_51,6.3,88,46202
Item_52,1.98,78,25023
Item_53,3.11,36,26555
Item_54,18.62,158,33027
Item_55,5.03,4,27198
Item_56,10.88,60,15087
Item_57,18.33,24,14972
Item_58,6.6,66,11267
Item_59,18.51,256,28697
Item_60,14.65,345,38661
Item_61,4.73,316,46755
Item_62,12.33,1,34863
Item_63,5.01,24,16038
Item_64,3.27,239,20397
Item_65,9.5,67,12542
Item_66,11.11,283,15233
Item_67,17.42,90,6890
Item_68,4.5,173,14481
Item_69,16.13,358,39966
Item_70,1.5,10,1934
Item_71,6.14,287,11612
Item_72,15.53,70,27864
Item_73,17.28,324,11078
Item_74,12.69,161,44034
Item_75,7.7,108,46176
Item_76,4.85,274,12466
Item_77,0.72,286,26539
Item_78,1.42,247,29341
Item_79,19.16,240,15089
Item_80,14.43,264,45475
Item_81,8.89,118,37519
Item_82,13.47,130,46614
Item_83,18.63,360,8567
Item_84,16.19,333,47512
Item_85,14.05,309,24876
Item_86,9.0,141,18879
Item_87,15.08,291,22747
Item_88,8.68,176,12431
Item_89,3.1,352,32107
Item_90,10.7,341,8129
Item_91,17.54,28,32460
Item_92,13.76,296,47532
Item_93,9.93,313,41083
Item_94,2.29,137,25643
Item_95,17.98,127,37962
Item_96,5.58,107,38620
Item_97,7.5,162,37702
Item_98,0.55,34,32712
Item_99,16.81,85,31710
Item_100,6.95,95,36329
