Item_ID,Weight,Shelf_Life,Value
Item_1,17.9,141,20179
Item_2,4.59,264,8766
Item_3,19.24,329,21553
Item_4,2.08,287,27235
Item_5,2.76,127,12978
Item_6,7.39,254,34405
Item_7,17.01,238,2895
Item_8,0.79,250,19384
Item_9,12.74,13,14864
Item_10,14.52,123,2333
Item_11,12.02,109,31623
Item_12,11.21,257,49656
Item_13,3.0,229,10789
Item_14,16.36,105,32793
Item_15,3.07,57,44295
Item_16,5.37,250,6315
Item_17,5.21,249,11732
Item_18,12.45,318,39595
Item_19,12.61,238,12834
Item_20,11.83,171,36437
Item_21,7.7,213,44980
Item_22,16.65,107,7656
Item_23,19.64,147,44857
Item_24,8.53,107,39650
Item_25,8.57,334,49382
Item_26,1.82,41,26569
Item_27,10.77,303,33120
Item_28,6.55,156,1787
Item_29,7.04,227,34675
Item_30,0.65,61,5684
Item_31,10.32,110,18098
Item_32,12.24,212,4300
Item_33,16.34,268,7861
Item_34,17.49,268,10299
Item_35,5.86,210,3485
Item_36,7.27,203,12105
Item_37,13.97,89,25416
Item_38,9.64,66,48585
Item_39,0.9,236,13073
Item_40,10.38,145,34728
Item_41,19.23,262,40389
Item_42,1.91,95,35101
Item_43,5.03,208,33046
Item_44,4.47,85,2861
Item_45,8.71,282,16593
Item_46,6.62,317,6919
Item_47,18.76,140,49080
Item_48,17.4,365,41450
Item_49,9.31,50,33098
Item_50,4.27,63,16131
Item_51,3.52,109,28040
Item_52,19.06,223,9779
Item_53,4.61,129,31550
Item_54,8.82,346,11215
Item_55,16.88,84,12990
Item_56,18.55,214,47664
Item_57,10.72,304,14491
Item_58,13.72,341,7991
Item_59,14.29,12,36210
Item_60,11.46,255,34930
Item_61,18.5,225,20871
Item_62,18.76,257,15301
Item_63,14.07,5,42596
Item_64,2.08,220,41826
Item_65,19.35,109,9387
Item_66,11.31,359,23966
Item_67,18.14,98,20645
Item_68,3.76,51,21593
Item_69,4.96,263,5189
Item_70,8.19,237,42626
Item_71,6.25,84,46350
Item_72,0.97,279,41511
Item_73,2.06,41,43820
Item_74,16.56,220,17940
Item_75,5.39,185,21745
Item_76,9.31,181,23423
Item_77,8.78,149,8305
Item_78,5.2,252,10151
Item_79,12.56,239,44491
Item_80,1.52,299,30152
Item_81,13.48,303,25155
Item_82,18.68,287,27819
Item_83,16.14,34,20288
Item_84,10.6,242,35427
Item_85,11.08,295,23767
Item_86,12.05,235,19513
Item_87,2.64,164,27671
Item_88,19.08,361,3573
Item_89,16.43,322,40812
Item_90,10.57,78,3141
Item_91,5.89,110,15260
Item_92,2.98,352,13380
Item_93,11.96,143,30899
Item_94,16.38,261,39514
Item_95,17.46,37,19406
Item_96,7.93,325,38743
Item_97,2.68,305,40008
Item_98,14.41,226,2399
Item_99,8.37,62,48955
Item_100,15.26,86,31287
