Item_ID,Weight,Shelf_Life,Value
Item_1,18.66,54,25182
Item_2,18.41,189,5798
Item_3,12.45,321,47724
Item_4,14.3,156,40936
Item_5,5.16,297,38670
Item_6,8.67,256,18766
Item_7,18.01,111,2356
Item_8,5.47,341,37385
Item_9,15.11,135,1076
Item_10,8.83,268,19120
Item_11,14.18,178,15153
Item_12,9.33,185,27496
Item_13,14.52,191,36548
Item_14,17.51,67,4492
Item_15,1.31,184,41291
Item_16,10.84,106,43665
Item_17,18.24,119,10789
Item_18,10.57,161,5099
Item_19,15.51,302,17304
Item_20,0.63,117,15159
Item_21,3.79,49,24508
Item_22,9.22,2,42239
Item_23,1.77,147,24919
Item_24,13.05,199,23101
Item_25,1.65,295,30951
Item_26,11.17,215,46580
Item_27,10.47,283,23593
Item_28,13.51,15,18278
Item_29,13.1,100,40736
Item_30,1.28,70,27693
Item_31,4.72,167,38198
Item_32,1.75,194,47934
Item_33,18.66,126,19230
Item_34,10.86,65,28091
Item_35,11.59,168,29513
Item_36,2.67,242,45400
Item_37,2.52,350,23985
Item_38,17.45,245,21375
Item_39,4.81,91,1534
Item_40,9.61,100,39508
Item_41,13.64,314,4908
Item_42,4.8,144,7585
Item_43,12.22,93,43310
Item_44,4.21,70,16567
Item_45,4.3,285,15076
Item_46,18.32,78,15249
Item_47,13.51,98,31019
Item_48,2.44,3,9931
Item_49,12.2,119,40445
Item_50,9.79,64,5296
Item_51,13.71,251,26583
Item_52,3.81,296,20515
Item_53,8.31,197,39301
Item_54,11.93,351,14776
Item_55,7.62,214,11430
Item_56,1.97,254,10339
Item_57,18.24,98,39140
Item_58,16.02,297,3019
Item_59,3.12,143,34384
Item_60,1.86,357,47950
Item_61,2.02,133,5295
Item_62,16.02,100,3762
Item_63,19.92,166,36679
Item_64,13.84,234,32951
Item_65,14.78,53,49416
Item_66,18.91,42,23012
Item_67,10.04,305,5386
Item_68,10.07,128,40692
Item_69,12.24,31,19906
Item_70,2.13,40,13258
Item_71,13.3,85,2934
Item_72,3.85,212,24506
Item_73,10.82,68,5905
Item_74,18.63,144,40112
Item_75,3.49,299,17793
Item_76,10.17,178,7413
Item_77,17.2,344,20810
Item_78,10.1,340,44021
Item_79,5.93,119,31231
Item_80,13.64,302,27743
Item_81,7.07,287,42375
Item_82,4.1,298,22312
Item_83,14.58,312,1345
Item_84,5.98,271,20597
Item_85,2.85,200,17311
Item_86,12.72,41,16737
Item_87,16.87,95,33200
Item_88,9.24,334,44177
Item_89,10.78,249,46356
Item_90,15.68,58,34075
Item_91,7.91,20,38104
Item_92,19.3,216,12501
Item_93,8.41,137,6045
Item_94,8.45,261,1728
Item_95,18.56,84,5162
Item_96,12.86,97,49530
Item_97,2.86,99,37366
Item_98,3.01,96,8062
Item_99,18.62,88,8919
Item_100,8.14,121,13693
